Timestamp,Date,Time,Trade ID,Side,Market,Outcome,Condition ID,Token ID,Size,Price,USDC Value,Balance After,Strategy,Status
2026-01-08T11:35:26.320Z,1/8/2026,11:35:26 AM,paper_1767872126320_wm3w97f7m,BUY,"Bitcoin Up or Down - January 8, 6:30AM-6:45AM ET",Up,0x8748ba93b66dc3184d11f431ffc29467d42e19f4301fcb545b43af636b6301bf,3957328916472580780667178029148259601214040478271702240235922259557882788921,8.1300,0.3252,2.64,9858.14,inventory-rebalancing,filled
2026-01-08T11:35:26.406Z,1/8/2026,11:35:26 AM,paper_1767872126406_ckf24w1mx,BUY,"Bitcoin Up or Down - January 8, 6:30AM-6:45AM ET",Down,0x8748ba93b66dc3184d11f431ffc29467d42e19f4301fcb545b43af636b6301bf,69016071696538226497246834630419643227585726091823237582729651699958866862133,9.7500,0.6743,6.57,9851.56,inventory-rebalancing,filled
2026-01-08T11:35:27.443Z,1/8/2026,11:35:27 AM,paper_1767872127443_cqvuxw41v,BUY,"Bitcoin Up or Down - January 8, 6:30AM-6:45AM ET",Up,0x8748ba93b66dc3184d11f431ffc29467d42e19f4301fcb545b43af636b6301bf,3957328916472580780667178029148259601214040478271702240235922259557882788921,8.1300,0.3251,2.64,9848.92,inventory-rebalancing,filled
2026-01-08T11:35:27.477Z,1/8/2026,11:35:27 AM,paper_1767872127477_y8ywi7ek8,BUY,"Bitcoin Up or Down - January 8, 6:30AM-6:45AM ET",Down,0x8748ba93b66dc3184d11f431ffc29467d42e19f4301fcb545b43af636b6301bf,69016071696538226497246834630419643227585726091823237582729651699958866862133,8.6100,0.6743,5.81,9843.11,inventory-rebalancing,filled
2026-01-08T11:35:28.508Z,1/8/2026,11:35:28 AM,paper_1767872128508_xomm5r8l0,BUY,"Bitcoin Up or Down - January 8, 6:30AM-6:45AM ET",Up,0x8748ba93b66dc3184d11f431ffc29467d42e19f4301fcb545b43af636b6301bf,3957328916472580780667178029148259601214040478271702240235922259557882788921,8.1300,0.3251,2.64,9840.47,inventory-rebalancing,filled
2026-01-08T11:35:28.551Z,1/8/2026,11:35:28 AM,paper_1767872128551_8f0t3eei4,BUY,"Bitcoin Up or Down - January 8, 6:30AM-6:45AM ET",Down,0x8748ba93b66dc3184d11f431ffc29467d42e19f4301fcb545b43af636b6301bf,69016071696538226497246834630419643227585726091823237582729651699958866862133,8.0400,0.6739,5.42,9835.05,inventory-rebalancing,filled
2026-01-08T11:35:28.582Z,1/8/2026,11:35:28 AM,paper_1767872128582_sctic8wlm,BUY,"Bitcoin Up or Down - January 8, 6AM ET",Up,0x3d6a7a41acc735b328c2c5df6360c455dbf0d54f02a2e440a3dba2b5828968d5,78066264955608331453782393322827480027742257997488697759837948356955559373604,2.2100,0.1302,0.29,9834.76,inventory-rebalancing,filled
2026-01-08T11:35:29.630Z,1/8/2026,11:35:29 AM,paper_1767872129630_7afktj7mt,BUY,"Bitcoin Up or Down - January 8, 6:30AM-6:45AM ET",Up,0x8748ba93b66dc3184d11f431ffc29467d42e19f4301fcb545b43af636b6301bf,3957328916472580780667178029148259601214040478271702240235922259557882788921,8.1300,0.3248,2.64,9832.12,inventory-rebalancing,filled
2026-01-08T11:35:29.673Z,1/8/2026,11:35:29 AM,paper_1767872129673_enu0rdecb,BUY,"Bitcoin Up or Down - January 8, 6:30AM-6:45AM ET",Down,0x8748ba93b66dc3184d11f431ffc29467d42e19f4301fcb545b43af636b6301bf,69016071696538226497246834630419643227585726091823237582729651699958866862133,7.7200,0.6739,5.20,9826.92,inventory-rebalancing,filled
2026-01-08T11:35:30.716Z,1/8/2026,11:35:30 AM,paper_1767872130715_9u0oh7kts,BUY,"Bitcoin Up or Down - January 8, 6:30AM-6:45AM ET",Up,0x8748ba93b66dc3184d11f431ffc29467d42e19f4301fcb545b43af636b6301bf,3957328916472580780667178029148259601214040478271702240235922259557882788921,8.1300,0.3249,2.64,9824.28,inventory-rebalancing,filled
